test size,run num,ftsel method,Kfold,number of features,correlation threshold,best features,criterion,max_depth,max_leaf_nodes,min_samples_leaf,min_samples_split,training accuracy,test accuracy
0.1,0,combined,5,50,1,Q17_1 Q28_2 Q4_6 Q16 Q4_1 Q28_1 Q27_4 Q6 Q28_7 Q30 Q17_2 Q8_8 Q27_2 Q2_2 Q8_5 Q8_3 Q25 Q9_1 Q27_5 ppage Q15 Q9_3 ,gini,5,10,2,2,0.6290644072890945,0.6427378562009527,
0.1,0,combined,5,50,0.5,Q9_2 Q17_1 Q4_6 Q16 Q3_5 Q2_10 Q14 Q4_2 Q19_6 Q6 Q19_1 Q30 Q11_5 Q8_8 Q2_2 income_cat Q8_5 Q8_3 Q2_7 Q2_5 Q9_1 Q2_8 ppage Q15 educ ,entropy,4,10,2,2,0.5178334550769823,0.5005095203853847,
0.1,0,combined,5,50,0.6,Q9_2 Q17_1 Q4_6 Q3_2 Q16 Q14 Q6 Q17_2 Q30 Q8_8 Q3_4 Q2_2 income_cat Q8_5 Q25 Q2_7 Q9_1 Q2_3 ppage Q15 educ Q9_4 Q9_3 ,gini,5,10,2,2,0.5351930996431902,0.5161811296267793,
0.1,0,combined,5,50,0.7,Q9_2 Q17_1 Q16 Q4_1 Q28_1 Q27_4 Q4_2 Q6 Q28_7 Q30 Q17_2 Q27_2 Q4_5 Q8_5 Q8_3 Q25 Q9_1 Q28_4 ppage Q9_3 ,gini,5,10,2,2,0.6179129583859698,0.6400586288927977,
0.1,1,combined,5,50,1,Q9_2 Q17_1 Q27_3 Q16 Q27_6 Q27_4 Q14 Q6 Q28_7 Q30 Q17_2 Q27_2 Q4_5 Q2_2 Q8_5 Q8_3 Q25 Q2_7 Q9_1 Q2_3 Q2_6 Q28_4 ppage Q28_5 Q9_4 ,gini,5,10,2,2,0.6297465241081741,0.6320559049489776,
0.1,1,combined,5,50,0.5,Q7 Q9_2 Q4_6 Q16 Q3_5 Q4_4 Q2_10 Q19_6 Q6 Q8_6 Q17_2 Q30 Q11_5 Q4_5 Q2_2 income_cat Q8_5 Q8_3 Q8_9 Q9_1 Q3_3 Q21 ppage Q15 educ Q23 Q9_3 ,gini,5,10,2,2,0.5906052164336589,0.5860687602328991,
0.1,1,combined,5,50,0.6,Q17_1 Q16 Q6 Q8_6 Q17_2 Q30 Q8_8 Q4_5 Q3_4 Q2_2 Q8_9 Q8_5 Q25 Q2_7 Q17_3 Q9_1 Q2_3 ppage Q15 educ Q9_4 Q9_3 ,gini,5,10,2,2,0.5339349273236502,0.5161945020287837,
0.1,1,combined,5,50,0.7,Q17_1 Q16 Q28_1 Q6 Q8_6 Q17_2 Q30 Q8_8 Q3_4 Q2_2 income_cat Q8_5 Q8_3 Q25 Q2_7 Q9_1 Q2_3 ppage Q28_5 Q9_4 Q4_3 Q9_3 ,gini,5,10,2,2,0.6038001158070383,0.6043098853984568,
0.1,2,combined,5,50,1,Q17_1 Q16 Q28_1 Q27_4 Q4_2 Q6 Q17_2 Q30 Q27_2 Q4_5 Q8_5 Q8_3 Q2_7 Q17_3 Q27_1 Q9_1 Q27_5 Q28_4 ppage Q28_3 Q28_5 Q9_4 Q4_3 Q23 Q9_3 ,gini,5,10,2,2,0.624712515480529,0.6027447976402993,
0.1,2,combined,5,50,0.5,Q4_6 Q16 Q3_5 Q4_2 Q6 Q19_9 Q8_6 Q30 Q8_8 Q4_5 Q2_2 income_cat Q19_3 Q8_3 Q8_5 Q2_5 Q9_1 Q3_3 Q19_2 ppage Q15 educ race Q23 Q9_3 ,entropy,4,10,2,2,0.5243026225839785,0.4970372591786324,
0.1,2,combined,5,50,0.6,Q17_1 Q16 Q14 Q4_2 Q6 Q8_6 Q17_2 Q30 Q4_5 income_cat Q8_5 Q25 Q2_7 Q17_3 Q9_1 Q2_3 ppage Q15 educ Q9_4 Q23 Q9_3 ,gini,4,8,2,2,0.5243448593033176,0.4799321026379562,
0.1,2,combined,5,50,0.7,Q9_2 Q17_1 Q16 Q4_1 Q3_5 Q28_1 Q27_4 Q4_2 Q6 Q17_2 Q30 Q27_2 Q3_4 Q8_5 Q9_1 Q2_3 ppage Q28_5 educ Q23 ,gini,5,10,2,2,0.6297540175895303,0.6099184613495438,
0.1,3,combined,5,50,1,Q17_1 Q16 Q4_1 Q28_1 Q27_4 Q4_4 Q4_2 Q28_6 Q6 Q28_7 Q30 Q27_2 Q2_2 Q8_5 Q8_3 Q25 Q9_1 Q27_5 Q2_3 ppage Q9_4 Q4_3 Q9_3 ,gini,5,10,2,2,0.6273505951975349,0.6580150677176322,
0.1,3,combined,5,50,0.5,Q9_2 Q4_6 Q18_3 Q16 Q4_4 Q2_10 Q6 Q19_1 Q8_6 Q30 Q8_8 Q4_5 Q2_2 income_cat Q8_9 Q8_5 Q25 Q2_5 Q8_3 Q9_1 Q19_2 Q3_3 ppage Q15 educ race Q9_3 ,gini,5,10,2,2,0.5329532822637258,0.5114599530532065,
0.1,3,combined,5,50,0.6,Q9_2 Q17_1 Q16 race Q4_4 Q14 Q4_2 Q19_6 Q6 Q17_2 Q30 Q8_8 Q2_2 income_cat Q8_5 Q8_3 Q25 Q17_3 Q9_1 Q2_3 ppage Q15 Q9_4 Q9_3 ,gini,5,10,2,2,0.5329532822637258,0.5114599530532065,
0.1,3,combined,5,50,0.7,Q17_1 Q16 Q27_4 Q14 Q28_6 Q6 Q8_6 Q17_2 Q30 Q4_5 Q27_2 Q2_2 income_cat Q8_3 Q25 Q9_1 Q2_3 ppage Q15 Q28_5 educ Q9_4 Q9_3 ,gini,5,10,2,2,0.6204659442093714,0.6512392911700233,
0.1,4,combined,5,50,1,Q9_2 Q17_1 Q16 Q4_1 Q28_1 Q27_4 Q14 Q28_6 Q6 Q17_2 Q30 Q27_2 Q3_4 Q2_2 Q25 Q2_7 Q17_3 Q9_1 Q27_5 Q2_3 ppage Q28_3 Q9_4 Q23 ,gini,5,10,2,2,0.6305376569188582,0.6295058363217735,
0.1,4,combined,5,50,0.5,Q9_2 Q3_2 Q16 Q8_4 Q3_5 Q4_4 Q2_10 Q14 Q6 Q8_6 Q17_2 Q30 Q11_5 Q8_8 Q4_5 Q2_2 income_cat Q8_9 Q8_3 Q25 Q2_7 Q8_5 Q9_1 ppage Q15 educ Q23 Q2_9 ,gini,4,10,2,2,0.5227251571586699,0.5011689100904788,
0.1,4,combined,5,50,0.6,Q9_2 Q17_1 Q4_6 Q16 Q14 Q6 Q8_6 Q17_2 Q30 Q8_8 Q2_2 income_cat Q8_5 Q8_3 Q25 Q2_7 Q9_1 ppage Q15 educ Q9_4 Q23 Q9_3 ,gini,4,10,2,2,0.5227251571586699,0.5011689100904788,
0.1,4,combined,5,50,0.7,Q17_1 Q16 Q4_1 Q3_5 Q28_1 Q14 Q6 Q17_2 Q30 Q4_5 Q2_2 Q8_5 Q8_3 Q25 Q17_3 Q9_1 Q2_6 Q28_4 ppage Q9_4 Q23 Q9_3 ,gini,5,10,2,2,0.6030892791996517,0.6108023994827487,
