test size,run num,ftsel method,Kfold,number of features,correlation threshold,best features,criterion,max_depth,max_leaf_nodes,min_samples_leaf,min_samples_split,training accuracy,test accuracy
0.2,0,combined,5,99,1,Q2_1 Q2_2 Q2_3 Q2_4 Q2_5 Q2_6 Q2_7 Q2_8 Q2_9 Q2_10 Q3_1 Q3_2 Q3_3 Q3_4 Q3_5 Q3_6 Q4_1 Q4_2 Q4_3 Q4_4 Q4_5 Q4_6 Q5 Q6 Q7 Q8_1 Q8_2 Q8_3 Q8_4 Q8_5 Q8_6 Q8_7 Q8_8 Q8_9 Q9_1 Q9_2 Q9_3 Q9_4 Q10_1 Q10_2 Q10_3 Q10_4 Q11_1 Q11_2 Q11_3 Q11_4 Q11_5 Q11_6 Q14 Q15 Q16 Q17_1 Q17_2 Q17_3 Q17_4 Q18_1 Q18_2 Q18_3 Q18_4 Q18_5 Q18_6 Q18_7 Q18_8 Q18_9 Q18_10 Q19_1 Q19_2 Q19_3 Q19_4 Q19_5 Q19_6 Q19_7 Q19_8 Q19_9 Q19_10 Q20 Q21 Q23 Q24 Q25 Q27_1 Q27_2 Q27_3 Q27_4 Q27_5 Q27_6 Q28_1 Q28_2 Q28_3 Q28_4 Q28_5 Q28_6 Q28_7 Q30 ppage educ race gender income_cat ,gini,5,10,2,2,0.5993043846263797,0.5747625453571401,
0.2,0,combined,5,99,0.6,Q2_1 Q2_2 Q2_3 Q2_4 Q2_5 Q2_6 Q2_7 Q2_8 Q2_9 Q2_10 Q3_1 Q3_2 Q3_3 Q3_4 Q3_5 Q3_6 Q4_1 Q4_2 Q4_3 Q4_4 Q4_5 Q4_6 Q5 Q6 Q7 Q8_1 Q8_2 Q8_3 Q8_4 Q8_5 Q8_6 Q8_7 Q8_8 Q8_9 Q9_1 Q9_2 Q9_3 Q9_4 Q10_1 Q10_2 Q10_3 Q10_4 Q11_1 Q11_2 Q11_3 Q11_4 Q11_5 Q11_6 Q14 Q15 Q16 Q17_1 Q17_2 Q17_3 Q17_4 Q18_1 Q18_2 Q18_3 Q18_4 Q18_5 Q18_6 Q18_7 Q18_8 Q18_9 Q18_10 Q19_1 Q19_2 Q19_3 Q19_4 Q19_5 Q19_6 Q19_7 Q19_8 Q19_9 Q19_10 Q20 Q21 Q23 Q24 Q25 Q27_1 Q27_2 Q27_3 Q27_4 Q27_5 Q27_6 Q28_1 Q28_2 Q28_3 Q28_4 Q28_5 Q28_6 Q28_7 Q30 ppage educ race gender income_cat ,gini,5,10,2,2,0.5993043846263797,0.5747625453571401,
0.2,1,combined,5,99,1,Q2_1 Q2_2 Q2_3 Q2_4 Q2_5 Q2_6 Q2_7 Q2_8 Q2_9 Q2_10 Q3_1 Q3_2 Q3_3 Q3_4 Q3_5 Q3_6 Q4_1 Q4_2 Q4_3 Q4_4 Q4_5 Q4_6 Q5 Q6 Q7 Q8_1 Q8_2 Q8_3 Q8_4 Q8_5 Q8_6 Q8_7 Q8_8 Q8_9 Q9_1 Q9_2 Q9_3 Q9_4 Q10_1 Q10_2 Q10_3 Q10_4 Q11_1 Q11_2 Q11_3 Q11_4 Q11_5 Q11_6 Q14 Q15 Q16 Q17_1 Q17_2 Q17_3 Q17_4 Q18_1 Q18_2 Q18_3 Q18_4 Q18_5 Q18_6 Q18_7 Q18_8 Q18_9 Q18_10 Q19_1 Q19_2 Q19_3 Q19_4 Q19_5 Q19_6 Q19_7 Q19_8 Q19_9 Q19_10 Q20 Q21 Q23 Q24 Q25 Q27_1 Q27_2 Q27_3 Q27_4 Q27_5 Q27_6 Q28_1 Q28_2 Q28_3 Q28_4 Q28_5 Q28_6 Q28_7 Q30 ppage educ race gender income_cat ,gini,5,10,2,2,0.6002796761224793,0.5708439666930087,
0.2,1,combined,5,99,0.6,Q2_1 Q2_2 Q2_3 Q2_4 Q2_5 Q2_6 Q2_7 Q2_8 Q2_9 Q2_10 Q3_1 Q3_2 Q3_3 Q3_4 Q3_5 Q3_6 Q4_1 Q4_2 Q4_3 Q4_4 Q4_5 Q4_6 Q5 Q6 Q7 Q8_1 Q8_2 Q8_3 Q8_4 Q8_5 Q8_6 Q8_7 Q8_8 Q8_9 Q9_1 Q9_2 Q9_3 Q9_4 Q10_1 Q10_2 Q10_3 Q10_4 Q11_1 Q11_2 Q11_3 Q11_4 Q11_5 Q11_6 Q14 Q15 Q16 Q17_1 Q17_2 Q17_3 Q17_4 Q18_1 Q18_2 Q18_3 Q18_4 Q18_5 Q18_6 Q18_7 Q18_8 Q18_9 Q18_10 Q19_1 Q19_2 Q19_3 Q19_4 Q19_5 Q19_6 Q19_7 Q19_8 Q19_9 Q19_10 Q20 Q21 Q23 Q24 Q25 Q27_1 Q27_2 Q27_3 Q27_4 Q27_5 Q27_6 Q28_1 Q28_2 Q28_3 Q28_4 Q28_5 Q28_6 Q28_7 Q30 ppage educ race gender income_cat ,gini,5,10,2,2,0.6002796761224793,0.5708439666930087,
0.2,2,combined,5,99,1,Q2_1 Q2_2 Q2_3 Q2_4 Q2_5 Q2_6 Q2_7 Q2_8 Q2_9 Q2_10 Q3_1 Q3_2 Q3_3 Q3_4 Q3_5 Q3_6 Q4_1 Q4_2 Q4_3 Q4_4 Q4_5 Q4_6 Q5 Q6 Q7 Q8_1 Q8_2 Q8_3 Q8_4 Q8_5 Q8_6 Q8_7 Q8_8 Q8_9 Q9_1 Q9_2 Q9_3 Q9_4 Q10_1 Q10_2 Q10_3 Q10_4 Q11_1 Q11_2 Q11_3 Q11_4 Q11_5 Q11_6 Q14 Q15 Q16 Q17_1 Q17_2 Q17_3 Q17_4 Q18_1 Q18_2 Q18_3 Q18_4 Q18_5 Q18_6 Q18_7 Q18_8 Q18_9 Q18_10 Q19_1 Q19_2 Q19_3 Q19_4 Q19_5 Q19_6 Q19_7 Q19_8 Q19_9 Q19_10 Q20 Q21 Q23 Q24 Q25 Q27_1 Q27_2 Q27_3 Q27_4 Q27_5 Q27_6 Q28_1 Q28_2 Q28_3 Q28_4 Q28_5 Q28_6 Q28_7 Q30 ppage educ race gender income_cat ,gini,5,10,2,2,0.5805445338883902,0.5717605404400111,
0.2,2,combined,5,99,0.6,Q2_1 Q2_2 Q2_3 Q2_4 Q2_5 Q2_6 Q2_7 Q2_8 Q2_9 Q2_10 Q3_1 Q3_2 Q3_3 Q3_4 Q3_5 Q3_6 Q4_1 Q4_2 Q4_3 Q4_4 Q4_5 Q4_6 Q5 Q6 Q7 Q8_1 Q8_2 Q8_3 Q8_4 Q8_5 Q8_6 Q8_7 Q8_8 Q8_9 Q9_1 Q9_2 Q9_3 Q9_4 Q10_1 Q10_2 Q10_3 Q10_4 Q11_1 Q11_2 Q11_3 Q11_4 Q11_5 Q11_6 Q14 Q15 Q16 Q17_1 Q17_2 Q17_3 Q17_4 Q18_1 Q18_2 Q18_3 Q18_4 Q18_5 Q18_6 Q18_7 Q18_8 Q18_9 Q18_10 Q19_1 Q19_2 Q19_3 Q19_4 Q19_5 Q19_6 Q19_7 Q19_8 Q19_9 Q19_10 Q20 Q21 Q23 Q24 Q25 Q27_1 Q27_2 Q27_3 Q27_4 Q27_5 Q27_6 Q28_1 Q28_2 Q28_3 Q28_4 Q28_5 Q28_6 Q28_7 Q30 ppage educ race gender income_cat ,gini,5,10,2,2,0.5805445338883902,0.5717605404400111,
0.2,3,combined,5,99,1,Q2_1 Q2_2 Q2_3 Q2_4 Q2_5 Q2_6 Q2_7 Q2_8 Q2_9 Q2_10 Q3_1 Q3_2 Q3_3 Q3_4 Q3_5 Q3_6 Q4_1 Q4_2 Q4_3 Q4_4 Q4_5 Q4_6 Q5 Q6 Q7 Q8_1 Q8_2 Q8_3 Q8_4 Q8_5 Q8_6 Q8_7 Q8_8 Q8_9 Q9_1 Q9_2 Q9_3 Q9_4 Q10_1 Q10_2 Q10_3 Q10_4 Q11_1 Q11_2 Q11_3 Q11_4 Q11_5 Q11_6 Q14 Q15 Q16 Q17_1 Q17_2 Q17_3 Q17_4 Q18_1 Q18_2 Q18_3 Q18_4 Q18_5 Q18_6 Q18_7 Q18_8 Q18_9 Q18_10 Q19_1 Q19_2 Q19_3 Q19_4 Q19_5 Q19_6 Q19_7 Q19_8 Q19_9 Q19_10 Q20 Q21 Q23 Q24 Q25 Q27_1 Q27_2 Q27_3 Q27_4 Q27_5 Q27_6 Q28_1 Q28_2 Q28_3 Q28_4 Q28_5 Q28_6 Q28_7 Q30 ppage educ race gender income_cat ,gini,5,10,2,2,0.5790350427013877,0.5777294470796601,
0.2,3,combined,5,99,0.6,Q2_1 Q2_2 Q2_3 Q2_4 Q2_5 Q2_6 Q2_7 Q2_8 Q2_9 Q2_10 Q3_1 Q3_2 Q3_3 Q3_4 Q3_5 Q3_6 Q4_1 Q4_2 Q4_3 Q4_4 Q4_5 Q4_6 Q5 Q6 Q7 Q8_1 Q8_2 Q8_3 Q8_4 Q8_5 Q8_6 Q8_7 Q8_8 Q8_9 Q9_1 Q9_2 Q9_3 Q9_4 Q10_1 Q10_2 Q10_3 Q10_4 Q11_1 Q11_2 Q11_3 Q11_4 Q11_5 Q11_6 Q14 Q15 Q16 Q17_1 Q17_2 Q17_3 Q17_4 Q18_1 Q18_2 Q18_3 Q18_4 Q18_5 Q18_6 Q18_7 Q18_8 Q18_9 Q18_10 Q19_1 Q19_2 Q19_3 Q19_4 Q19_5 Q19_6 Q19_7 Q19_8 Q19_9 Q19_10 Q20 Q21 Q23 Q24 Q25 Q27_1 Q27_2 Q27_3 Q27_4 Q27_5 Q27_6 Q28_1 Q28_2 Q28_3 Q28_4 Q28_5 Q28_6 Q28_7 Q30 ppage educ race gender income_cat ,gini,5,10,2,2,0.5790350427013877,0.5777294470796601,
0.2,4,combined,5,99,1,Q2_1 Q2_2 Q2_3 Q2_4 Q2_5 Q2_6 Q2_7 Q2_8 Q2_9 Q2_10 Q3_1 Q3_2 Q3_3 Q3_4 Q3_5 Q3_6 Q4_1 Q4_2 Q4_3 Q4_4 Q4_5 Q4_6 Q5 Q6 Q7 Q8_1 Q8_2 Q8_3 Q8_4 Q8_5 Q8_6 Q8_7 Q8_8 Q8_9 Q9_1 Q9_2 Q9_3 Q9_4 Q10_1 Q10_2 Q10_3 Q10_4 Q11_1 Q11_2 Q11_3 Q11_4 Q11_5 Q11_6 Q14 Q15 Q16 Q17_1 Q17_2 Q17_3 Q17_4 Q18_1 Q18_2 Q18_3 Q18_4 Q18_5 Q18_6 Q18_7 Q18_8 Q18_9 Q18_10 Q19_1 Q19_2 Q19_3 Q19_4 Q19_5 Q19_6 Q19_7 Q19_8 Q19_9 Q19_10 Q20 Q21 Q23 Q24 Q25 Q27_1 Q27_2 Q27_3 Q27_4 Q27_5 Q27_6 Q28_1 Q28_2 Q28_3 Q28_4 Q28_5 Q28_6 Q28_7 Q30 ppage educ race gender income_cat ,gini,5,10,2,2,0.5957961574124424,0.5830869853565551,
0.2,4,combined,5,99,0.6,Q2_1 Q2_2 Q2_3 Q2_4 Q2_5 Q2_6 Q2_7 Q2_8 Q2_9 Q2_10 Q3_1 Q3_2 Q3_3 Q3_4 Q3_5 Q3_6 Q4_1 Q4_2 Q4_3 Q4_4 Q4_5 Q4_6 Q5 Q6 Q7 Q8_1 Q8_2 Q8_3 Q8_4 Q8_5 Q8_6 Q8_7 Q8_8 Q8_9 Q9_1 Q9_2 Q9_3 Q9_4 Q10_1 Q10_2 Q10_3 Q10_4 Q11_1 Q11_2 Q11_3 Q11_4 Q11_5 Q11_6 Q14 Q15 Q16 Q17_1 Q17_2 Q17_3 Q17_4 Q18_1 Q18_2 Q18_3 Q18_4 Q18_5 Q18_6 Q18_7 Q18_8 Q18_9 Q18_10 Q19_1 Q19_2 Q19_3 Q19_4 Q19_5 Q19_6 Q19_7 Q19_8 Q19_9 Q19_10 Q20 Q21 Q23 Q24 Q25 Q27_1 Q27_2 Q27_3 Q27_4 Q27_5 Q27_6 Q28_1 Q28_2 Q28_3 Q28_4 Q28_5 Q28_6 Q28_7 Q30 ppage educ race gender income_cat ,gini,5,10,2,2,0.5957961574124424,0.5830869853565551,
